ClauseLikeUnit(CLU)-value,Duration,Question,Eye&Brow-value,Head-value,MouthGestF-value,MouthGestF-question,Mouthing-value,Mouthing-question,Q-manual-value,Q-nonmanual-value,Q-position-value,Q-semantic-value,Q-social action-value,CLUcomposite-value,CLUwithinCLU-value,CLUcomplex-value,CA-value,RH-IDgloss-value,LH-IDgloss-value,LitTransl-value,FreeTransl-value,Comments-value
LN25M76WHC_CLU#109,2108,Continuing,"null, up",Nod,NA,NA,"please, come",NA,Absent,Present,NA,Polar,suggestion/offer/request,Embed,contained,NA,CD:DOCTOR,"PT:PRO3SG, PLEASE, COME",PT:,you please come-here (immediately),They were going to call or get someone to collect them and bring them to the hospital.,
LN25M76WHC_CLU#115,790,Continuing?,up,Forward,NA,NA,"true, or not",NA,Absent,Present,NA,Alternative,outloud,Depend,NA,dependent,NA,"TRUE, NOT","TRUE, NOT",(it's) true (or) not?,"Whether that was true or not, I don't know but wasn't it strange though?","EM: I don't think it's a question or maybe a borderline one. GH: he answers the question himself, internal response frame"
LN25M76WHC_CLU#121,1883,Initiating,null,Nod,NA,NA,big big big bigger,NA,Absent,Present,NA,Polar,OIR-restricted,Single,NA,NA,NA,DSS(SPHERE),,tumour-grow-in-size?,So the tumour has grown in size?,"GH: TJ disagrees with Shared CLU analysis, as it is a separate contribution although of course related (confirmed by others response WELL-YES, and signers own subsequent OOOO (oh dear))"
LN25M76WHC_CLU#145,2245,Initiating-NR,"null, down",HS,NA,NA,"something, wrong",NA,Absent,Present,NA,Polar,outloud,Single,NA,NA,NA,"G:WELL, SOME, WRONG, PT:BODY-HEAD",G:WELL,well something wrong up-there-in-their-minds?,Is there something wrong with their minds?,
LN25M76WHC_CLU#146,1834,Continuing-NR,down,"HS, Null",NA,NA,"crazy, or what",Single,Single,Present,other,Alternative,rhetorical,Single,NA,NA,NA,"CRAZY, WHAT, G:WELL",G:WELL,(they are) crazy (or) what?!,Are they crazy or what?!,
MC02F22WDC_CLU#001,3240,Initiating,null,"Nod, Null",NA,NA,"you, going, deaf club, friday",NA,Absent,Absent,NA,Polar,request confirmation,Single,NA,NA,NA,"GO02, DEAF-CLUB, FRIDAY, PT:PRO2SG","PT:PRO2SG, GO02, DEAF-CLUB, FRIDAY, PT:PRO2SG",you going Deaf-club Friday?,Are you going to the Deaf club on Friday?,
MC02F22WDC_CLU#027,1566,Continuing-NR,down,Null,NA,NA,"know, who, lucy lucy",Single,Single,Present,post-predicate (non-reprise),Polar,request confirmation,Single?,NA,NA,NA,"KNOW, WHO, FS:LUCY","WHO, FS:LUCY",(you) know who Lucy?,Do you know Lucy?,"EM: this was identified as one question, but I think there are two Q's here. There is a similar case later in this file. She asks and as he doesn't respond in the first part of the question, so then she repeats the name by using mouthing instead. HP:Proper noun."
MC02F22WDC_CLU#027,927,Continuing,down,Null,NA,NA,lucy lucy,NA,Absent,Present,NA,Polar,request confirmation,Single?,NA,NA,NA,FS:LUCY,FS:LUCY,(you) know who Lucy?,Do you know Lucy?,"EM: this was identified as one question, but I think there are two Q's here. There is a similar case later in this file. She asks and as he doesn't respond in the first part of the question, so then she repeats the name by using mouthing instead. HP:Proper noun."
MC02F22WDC_CLU#028,1310,Continuing-NR,down,"HS1, Null",NA,NA,"UNSURE, last, fri(d)ay, there",NA,Absent,Present,NA,Polar,request confirmation,Single,NA,NA,NA,"PT:, PT:LOC, FRIDAY, PT:LOC",FRIDAY,she last Friday (was) there,She was there last Friday.,
MC02F22WDC_CLU#029,990,Continuing,down,Null,NA,NA,brown,NA,Absent,Present,NA,Polar,request confirmation,Single,NA,NA,NA,ETHNIC,,(she has) brown-skin?,She's got brown skin and long black hair; that one.,
MC02F22WDC_CLU#030,1360,Continuing,"down, up","Nod, Nod",NA,NA,"black, black",NA,Absent,Present,NA,Polar,request confirmation,Single,NA,NA,NA,"LONG-HAIR, BLACK",LONG-HAIR,"(she has) long-hair, black?",She's got brown skin and long black hair; that one.,HP: Signer also mouths 'black' here so we have simultaneity of noun & adj. The following BLACK may relate to either skin colour or hair colour.
MC02F22WDC_CLU#031,1230,Continuing,up,Nod,NA,NA,UNSURE,NA,Absent,Present,NA,Polar,request confirmation,Embed,pre-container,NA,NA,"SN:INDECIPHERABLE(FS:INDECIPHERABLE(NJ)), FS:N","SN:INDECIPHERABLE(FS:INDECIPHERABLE(NJ)), FS:N","that-one/her, and NJ, N, umm, three-of-us-together (we just) like want","And,erm, NJN - the three of us kind of wanted a break from our boyfriends.","HP:Proper noun (it's a sign name, even though indecipherable)"
MC02F22WDC_CLU#038,830,Continuing,up,Null,NA,NA,"want, go, pub",NA,Absent,Present,NA,Polar,request confirmation,Embed,NA,NA,CD:SIGNER'S-FRIENDS,"WANT, GO, PUB02","GO, PUB02",want go-to pub?,"They asked me if I wanted to go to the pub, and I said, ""Alright, why not, for a laugh,"" so we went.",
MC02F22WDC_CLU#042,3034,Continuing-NR,null,Null,NA,NA,"(th)en, know, cocktail",NA,Absent,Absent,NA,Polar,request confirmation,Single,NA,NA,NA,"NEXT, KNOW, COCKTAILS",COCKTAILS,then...(you) know cocktails? Cocktail?,Then... you know cocktails? Cocktail.,"EM: this was identified as a single question, but it's actually two in my opinion. She asks and as she desn't get a response uses fingerspelling, and then he responds quickly."
MC02F22WDC_CLU#042,1750,Continuing,wide,Nod,NA,NA,cocktail,NA,Absent,Absent,NA,Polar,request confirmation,Single,NA,NA,NA,FS:COCKTAIL,FS:COCKTAIL,then...(you) know cocktails? Cocktail?,Then... you know cocktails? Cocktail.,"EM: this was identified as a single question, but it's actually two in my opinion. She asks and as she desn't get a response uses fingerspelling, and then he responds quickly."
MC02F22WDC_CLU#043,1790,Continuing,null,Null,NA,NA,"sex, beach",NA,Absent,Present,NA,Polar,request confirmation,Single,NA,NA,NA,"SEX, SAND","SEX, SAND","me pick-from-menu that-one-there sex (on the) beach, sex (on the) beach, whatever","Well, I picked, erm, sex on the beach, whatever.",
MC02F22WDC_CLU#072,2819,Continuing-NR,"null, squint","Nod, Null , HS1",NA,NA,"back, where, the, fox",NA,Single,Present,post-predicate (non-reprise),Polar,request confirmation,Single,NA,NA,NA,"AT-LAST, FROM-TO, WHERE, FS:T-THE, SN:FOXHALL(FOX^FS:HALL)","AT-LAST, FROM-TO, WHERE, FS:T-THE, SN:FOXHALL(FOX^FS:HALL)",finally (we) return where The Foxhall,They finally accepted it and we went back to The Foxhall pub.,EM: These multiple questions haven't been identified. They are dealing with understanding problems.
MC02F22WDC_CLU#072,1257,Continuing-NR,squint,Null,NA,NA,hall,NA,Absent,Present,NA,Polar,request confirmation,Single,NA,NA,NA,SN:FOXHALL(FOX^FS:HALL),SN:FOXHALL(FOX^FS:HALL),finally (we) return where The Foxhall,They finally accepted it and we went back to The Foxhall pub.,EM: These multiple questions haven't been identified. They are dealing with understanding problems.
MC02F22WDC_CLU#073,1670,Continuing,down,HS,PRESSED-LIPS,YES,pub,NA,Absent,Present,NA,Polar,request confirmation,Single,NA,NA,NA,"PUB02, PT:DET",PUB02,pub you (don't know it)?,You don't know it?,"EM: These multiple questions haven't been identified. They are dealing with understanding problems. , TJ checked negation but note this is an example of PT+HS only (as for hearing speakers)"
MC02F22WDC_CLU#105,950,Continuing,down,Null,NA,NA,"where've, you, been",Single,Single,Present,pre-predicate,Content,request information,Single,NA,NA,CD:SIGNER'S-FRIEND-LUCY,"WHERE, GO02, G:WELL",G:WELL,"(she say) ""where (you) been?""","Then Lucy came down and said ""Where have you been?!""",
MC02F22WDC_CLU#130,1200,Continuing-NR,up,Not clear,NA,NA,"do, what, next",Single,Single,Present,post-predicate (non-reprise),Content,request information,Embed,contained,NA,CD:SIGNER'S-BOYFRIEND?,"MAKE, WHAT, NEXT",MAKE,do what next?,Michael asked me 'What are you doing next?'. It was Chris Brown's birthday.,SG: difficult to see any articulators here?
MC02F22WDC_CLU#163,1154,Initiating,up,HS,NA,NA,no,NA,Absent,Present,NA,Polar,request confirmation,Fragment,NA,NA,NA,G(NMS):NO,,(no you wouldn't?),You wouldn't try that?,
BL03F70WHC_LH_CLU#004,2010,Initiating,"null, up","Nod, Null",NA,NA,"and then, what happen, after, what",Multiple,Multiple,Present,other,Content,request information,Single,NA,NA,NA,"G:WELL, HAPPEN, NEXT, G:WELL","G:WELL, HAPPEN, NEXT, G:WELL",then (what) happen after?,...and then what happened afterwards?,"MattB: possibly coordination (discourse level) but not conjunction, EM: this was annotated as multiple Q manual, but the signer uses palm-up gestures only, although she mouthes 'what' twice. I'll leave it as multiple, but change the q-position to other as it's not a wh-q word. Please let me know if you want me to do it differently."
BL03F70WHC_LH_CLU#017,1050,Continuing-NR,down,HS1,NA,NA,what,Single,Absent,Present,NA,Content,outloud,Single,NA,NA,CA:SIGNER,,"PT:PRO1SG, LOOK02","me look-there (at them/at the signing and said ""what?"")",There were children signing out there and I couldn't understand any of them.,
BL03F70WHC_LH_CLU#020,1010,Continuing-NR,squint,Null,NA,NA,"mum, what's th(at)",Single,Absent,Present,other,Content,outloud,Embed,contained,NA,CD:SIGNER,,"PT:PRO3SG, PT:PRO3SG/PT:LOC",(Mum what's) that?,I asked Mum what they were doing and she said I'd be the same as them.,"HP: there are simultaneous NPs: 'Mum' on the mouth alongside two manual points. GH: This is example of a kind of overlapping/mixed syntax. Signer is enacting speech + PT gesture. She points at herself while mothing ""Mum, what's that?"". So NPs are 1. PT (self), 2. Mum (mouth), and maybe 3. what's that (mouth + PT) - but this latter one especially should be grouped with other NPs that mimic speech+gesture patterns."
BL03F70WHC_LH_CLU#026,959,Continuing-NR,up,Nod,NA,NA,"same-prog, oh really",NA,Absent,Present,NA,Polar,request confirmation,Single,NA,NA,CD:SIGNER,"PT:PRO1SG, G(NMS):MOUTHING",,"me ""oh really?""",I was surprised then.,
BL03F70WHC_LH_CLU#081,740,Continuing-NR,wide,"Null, Sideward",NA,NA,"me, what",Single,Single,Present,post-predicate (non-reprise),Other,OIR-open,Single,NA,NA,CA:SIGNER,"G:WELL, PT:LOC","PT:PRO1SG, G:WELL, PT:LOC",me well (looked over and whatted),"The children were all waving but I did not realise it was my Mother crying out, ""My baby...""",
BL03F70WHC_LH_CLU#107,2870,Continuing,down,"HS, Null",NA,NA,"well, close down",NA,Multiple,Present,reprise (clause-final),Content,rhetorical,Single,NA,NA,NA,"G:WELL, CLOSED, G:WELL","G:WELL, PT:PRO3SG, CLOSED, G:WELL",why they closed-down?,Why have they closed down?,
BL03F70WHC_LH_CLU#109,1430,Continuing,down,"Nod1, Null",NA,NA,what,Single,Single,Present,other,Content,request information,Single,NA,NA,NA,"PT:PRO2SG, WHAT, G:WELL","PT:PRO2SG, WHAT, G:WELL, MAN02",well you what-about menswear?,What about the Men's?,
"BL03F70WHC_LH_CLU#138, BL03F70WHC_LH_CLU#139",6400,Initiating,"squint, squint, null","Null, Sideward, Null",NA,NA,"you, remember, years?, me, from, Wales, friends",NA,Absent,Present,NA,Polar,request confirmation,Embed,"pre-container, contained",NA,NA,"FROM, FRIEND","PT:, REMEMBER04, PAST, PT:, PT:PRO1SG, FROM, WALES, PT:DET/LOC, PT:POSS1SG, FRIEND, ALL","you remember, many-years-ago me my (friend) from wales there with our friends all-of-them?","Oh do you remember, a long time ago, when our friends in Wales asked if we'd like to go down to Bristol...",
BL03F70WHC_LH_CLU#142,3200,Continuing-NR,up,Null,NA,NA,"you like, go, to Bristol, Bristol",NA,Absent,Present,NA,Polar,request confirmation,Embed,contained,NA,CD:FRIEND,"SN:BRISTOL(FS:B-BRISTOL), INDECIPHERABLE","LIKE, GO, SN:BRISTOL(FS:B-BRISTOL), PT:DET/LOC",(would you) like (to) go (to) Bristol down-there?,"Oh do you remember, a long time ago, when our friends in Wales asked if we'd like to go down to Bristol...",
BL03F70WHC_LH_CLU#145,530,Continuing-NR,down,Forward,NA,NA,what for,Single,Single,Present,other,Content,outloud,Embed,contained,NA,CD:SIGNER,,WHAT,what-for?,I had asked what was the trip about...,
BL03F70WHC_LH_CLU#147,493,Continuing-NR,down,Sideward,NA,NA,"what, for",Single,Single,Present,pre-predicate,Content,outloud,Embed,contained,NA,CD:SIGNER,"WHAT, G:WELL","WHAT, G:WELL",what-for well?,I had asked what was the trip about...,
BL03F70WHC_LH_CLU#154,2554,Continuing,squint,Null,NA,NA,"know, where the, Bristol, Zoo, to",Single,Single,Present,post-predicate (non-reprise),Content,request information,Embed,contained,NA,CD:SIGNER,"KNOW, WHERE, SN:BRISTOL(FS:B-BRISTOL), FS:ZOO","KNOW, WHERE, SN:BRISTOL(FS:B-BRISTOL), FS:ZOO, PT:DET/LOC",(do you) know where Bristol Zoo there?,"As we got off the train, we walked around for a while asking people if they knew where Bristol zoo was.",
BL03F70WHC_LH_CLU#160,350,Continuing-NR,up,Forward,NA,NA,NA,NA,Absent,Present,NA,Polar,request confirmation,Single,NA,NA,CD:SIGNER,"PT:PRO1SG, PT:PRO3SG/PT:LOC",,oh down-there?,We thanked him and then went to check which bus we had to wait for.,
BL03F70WHC_LH_CLU#163,390,Continuing-NR,down,Null,NA,NA,which bus,Single,Single,Present,other,Alternative,request information,Single?,NA,NA,CD:SIGNER,,WHICH,which (bus)?,We thanked him and then went to check which bus we had to wait for.,
BM06F56WDC_CLU#002,870,Continuing,wide,Forward,PURSED-LIPS,NO,NA,NA,Absent,Present,NA,Polar,request confirmation,Single,NA,NA,NA,GOOD,GOOD,(is it) good?,Is it good?,
BM06F56WDC_CLU#003,1710,Initiating,up,Null,NA,NA,"wi(ll), again, again-prog, wed(nes)day, wed(nes)day-prog",NA,Absent,Present,NA,Polar,request confirmation,Single,NA,NA,NA,"WILL, AGAIN, PT:LOC, WEDNESDAY, PT:LOC",WEDNESDAY,will again this-coming Wednesday this-coming-one?,Will it be on again on Wednesday?,
BM06F56WDC_CLU#004,850,Initiating,up,Null,NA,NA,three,NA,Absent,Present,NA,Polar,OIR-restricted,SharedCecho,NA,NA,NA,THREE02,,(oh there is) three (episodes)?,Three?,
BM06F56WDC_CLU#008,1440,Initiating,up,Nod,NA,NA,internet,NA,Absent,Present,NA,Polar,OIR-restricted,Single,NA,NA,NA,"INTERNET, COMPUTER","INTERNET, COMPUTER",internet (on the) computer?,The internet?,
BM06F56WDC_CLU#010,310,Continuing,up,HS,PRESSED-LIPS,YES,NA,NA,Single,Present,other,Content,request confirmation,Single,NA,NA,NA,"PT:PRO3SG, WHAT",,that what (what is it)?,What is it?,
BM06F56WDC_CLU#012,596,Initiating,up,Sideward,SYLL:OH,NO,NA,NA,Absent,Present,NA,Other,OIR-news-receipt,Single,NA,NA,NA,G:NMF:OH-I-SEE,,(oh I see?),,
BM06F56WDC_CLU#013,800,Initiating,up,Null,NA,NA,weak,NA,Absent,Present,NA,Polar,OIR-restricted,Single,NA,NA,NA,WEAK,WEAK,(oh he was) weak?,"Oh, weak?",
BM06F56WDC_CLU#014,2160,Initiating,up,"Nod, HS",NA,NA,"mean, saddam",NA,Absent,Present,NA,Polar,OIR-restricted,Single,NA,NA,NA,"PT:PRO3SG, FS:SADDAM, PT:PRO3SG","PT:PRO3SG, FS:SADDAM, PT:PRO3SG",that (meaning) Saddam him (or no)?,That was Saddam?,NF: FS: SADD.
BM06F56WDC_CLU#015,1400,Initiating,down,Null,NA,NA,wha(t) for,Single,Single,Present,other,Content,OIR-open,Single,NA,NA,NA,WHAT,,what-for?,What for?,
BM06F56WDC_CLU#016,1760,Initiating,down,Null,NA,NA,you mean,NA,Absent,Present,NA,Polar,OIR-restricted,Single,NA,NA,NA,"G:WELL, MEANING, PT:PRO3PL","MEANING, PT:PRO3PL",(ah you) mean they-all/that-time-then...,You mean they..?,
BM06F56WDC_CLU#021,1672,Continuing,down,Nod,NA,NA,"wha(t) for, tell, what for",Multiple,Multiple,Present,reprise (clause-final),Content,request confirmation,Single,NA,NA,NA,"WHAT, SAY, WHAT",G:WELL,what-for say (that) what-for?,Why do you think he said that?,
BM06F56WDC_CLU#024,3030,Initiating,down,Sideward,SYLL:THH,NO,"family, have, have hav(e)",NA,Absent,Present,NA,Polar,request confirmation,Embed,contained,NA,NA,"PT:POSS3SG, FAMILY02, HAVE, ATTACK, HAVE","FAMILY02, HAVE, ATTACK",his family have attack-persecute-others have?,I've heard he would sometimes bully his family? Did he?,"GH: Does she mean SH bullied his family? Or that his family bullied others?, SS: this clear is body to space, although it away from body, but different place from previous annotation. see previous comments. the end of the sign is in two place but more of repetition sign rather than putting Z-X axis. have put axis?"
"BM06F56WDC_CLU#026, BM06F56WDC_CLU#027",3590,Continuing,"null, down, up","Nod1, Null",NA,NA,"he, cruel, to, pe(ople) people, have",NA,Absent,Present,NA,Polar,request confirmation,"Single?, Single?",NA,NA,NA,"PT:PRO3SG, CRUEL, PT:PRO3PL, PEOPLE05, HAVE, HAPPEN, G:WELL","CRUEL, PT:PRO3PL, PEOPLE05, HAVE, G:WELL","he cruel to people them-all, have things-like-that-happen you-know?","He was cruel to people, wasn't he?",
BM06F56WDC_CLU#028,960,Initiating,up,Null,PRESSED-LIPS,YES,what,Single,Single,Present,pre-predicate,Content,request confirmation,Single,NA,NA,NA,"WHAT, PT:LBUOYPL",LBUOY-FOUR02,what (are the) other-three (episodes)?,I wonder what the other three programmes will be about.,
BM06F56WDC_CLU#031,1960,Initiating,null,Null,NA,NA,"how, pres(ident), become",Single,Single,Present,pre-predicate,Content,request information,SharedCcontent,NA,NA,NA,"HOW, PRESIDENT, CHANGE","HOW, CHANGE",how (he Saddam Hussein) become president...,How he became president.,
BM06F56WDC_CLU#035,2700,Continuing,down,Sideward,NA,NA,i play,NA,Absent,Present,NA,Content,OIR-restricted,Single,NA,NA,NA,FS:IPLAYER(IPLA),FS:IPLAYER(IPLA),(it's on) iPlayer (what's it called)?,And there's the iPlayer?,
BM06F56WDC_CLU#039,550,Initiating,up,Nod,NA,NA,ge(t) from,NA,Absent,Present,NA,Polar,request confirmation,SharedCcontent,NA,NA,NA,CHOOSE,,(me) choose-from (the options on the screen)?,Pick from...,GH: TJ thinks echo but GH thinks content (sign CHOOSE is not mirrored)
BM06F56WDC_CLU#041,3110,Continuing,up,Sideward,NA,NA,"but/mean, finish, tonight, last, tonight",NA,Absent,Present,NA,Polar,request confirmation,Single,NA,NA,NA,"BUT, FINISH03, NIGHT, LAST, NIGHT","FINISH03, NIGHT, LAST, NIGHT",but (they) finish tonight? last (day/episode/chance) tonight?,"So it'll finish tonight on iPlayer, so this is the last night I can watch it?",
BM06F56WDC_CLU#042,1310,Continuing-NR,up,Sideward,NA,NA,"seven, tu(esday)",NA,Absent,Present,NA,Polar,OIR-restricted,Single,NA,NA,NA,"SEVEN, ADD-TO-SIGNBANK(TUESDAY)","SEVEN, ADD-TO-SIGNBANK(TUESDAY)",seven (days is) Tuesday,Seven on Tuesday.,
BM06F56WDC_CLU#043,440,Initiating-NR,up,Up,NA,NA,NA,NA,Absent,Present,NA,Polar,OIR-restricted,Single,NA,NA,NA,PT:LOC,,(oh) before?,"Oh, before.",
BM06F56WDC_CLU#045,2880,Initiating,up,Null,NA,NA,"but, sign, inter(preter)",NA,Absent,Present,NA,Polar,request confirmation,Single,NA,NA,NA,"BUT, SIGN, INTERPRETER, THERE, PT:LOC, THERE","BUT, SIGN, INTERPRETER, THERE, PT:LOC, THERE",but signing interpreter do-there there?,But there's an in vision interpreter signing on the programme?,
BM06F56WDC_CLU#046,2640,Continuing,up,Null,NA,NA,"you, record",NA,Absent,Present,NA,Polar,request confirmation,Single,NA,NA,NA,"PT:PRO3SG, SUBTITLES, G:WELL","PT:PRO2SG, COPY, SUBTITLES, G:WELL",you record that-there (with) subtitles-there?,You recorded it with subtitles?,EV: Not sure
BM06F56WDC_CLU#047,2640,Initiating,wide,Sideward,NA,NA,"last, night, mean repeat, last, night",NA,Absent,Present,NA,Polar,OIR-restricted,Single,NA,NA,NA,"YESTERDAY, NIGHT, AGAIN , YESTERDAY, NIGHT",AGAIN,last night? (meaning it was) repeated last night?,It was repeated last night?,
BM06F56WDC_CLU#063,1550,Continuing,up,Sideward,PRESSED-LIPS,YES,NA,NA,Absent,Present,NA,Polar,request confirmation,Single,NA,NA,NA,"SETTLE, GOOD","SETTLE, GOOD",(now) settle-down become-good?,"Has it calmed down now, or do they still have problems?",
BM06F56WDC_CLU#064,2350,Continuing,up,Sideward,PRESSED-LIPS,YES,"still, have, problem",NA,Absent,Present,NA,Polar,request confirmation,Single,NA,NA,NA,"CONTINUE, HAVE, HARD, HAPPEN","CONTINUE, HAVE, HARD, HAPPEN",still have problems happening?,"Has it calmed down now, or do they still have problems?",EV: Not sure about the role of LH
